id,user,agent
19,Can I get help from a real person?,"Absolutely. May I have your full name, email, and phone number?"
19,"John White, john.com, 053-456-7890",It looks like there's an issue with the email address you provided. Could you please provide a valid email address?
19,"John White, john@example.com, 053-4567890",Thank you John. A representative will contact you soon.
19,Also can you check my order status?,Please provide your order ID.
19,Order ID is 133,Your order with ID 133 has been delivered.
20,How do I check my order status?,Please provide your order ID.
20,Order ID is 168,Your order with ID 168 has been delivered.
20,Also can I request a human representative?,"Sure, may I have your full name, email, and phone number?"
20,"John Doe, john@example.com, 0521234567",A representative will contact you shortly.
21,Can I speak to a person and know the return policy for clearance items?,"Sure, I can help. May I have your full name, email, and phone number?, Clearance items are non-returnable."
21,"Sarah Green, sarah@example.com, 052-654-3210",Thank you Sarah. A representative will be in touch with you soon.
22,I want to speak to a customer service representative.,"Of course! Could you please provide your full name, email, and phone number?"
22,"John Doe, john@example.com, 052-123-4567",Thank you John. A representative will contact you soon.
22,Also can you check the status of my order?,Please provide your order ID.
22,It's 110,Your order with ID 110 is being processed.
23,What's the return policy for items bought on sale?,Sale items can be returned within 30 days.
23,Also I want to talk to a human representative.,"Please provide your full name, email, and phone number."
23,"Mike Brown, mike@example.com, 054-111-2233",Thank you Mike. A representative will be in touch with you shortly.
23,How will I receive my refund?,I don’t have such infromation. Would you like to speak to human representative?
24,How do I return an item by mail?,"To return an item by mail, please contact our customer service for a return authorization."
24,Also can you check my order status?,Please provide your order ID.
24,Order ID is 105,Your order with ID 105 is being processed.
24,How long will it take for the returned item to reach you?,I donÂ’t have such infromation. Would you like to speak to human representative?
25,What's the status of my order?,Could you please provide your order ID.
25,Order ID is 172,Your order with ID 172 is pending.
25,Can I return items without the original tags?,Items must be returned with their original tags intact.
26,How do I check my order status?,Please provide your order ID.
26,Order ID is 186,Your order with ID 186 has been delivered.
26,Can I return a damaged item?,"If you receive a damaged item, please contact our customer service immediately."
27,How do I return an item by mail?,"To return an item by mail, please contact our customer service for a return authorization."
27,And what's the status of my order?,Please provide your order ID.
27,Order ID is 138,Your order with ID 138 has been delivered.
28,Can I speak to a person? Also are personal care items returnable?,"Sure, I can help. May I have your full name, email, and phone number?, Personal care items are non-returnable."
28,"Emma Brown, emma@example.com, 050-432-1987","Thank you Emma, A human representative will contact you soon."
29,Can I return an item bought on sale? Also I want to check my order status.,"Yes, items bought on sale can be returned within 30 days. Please provide your order ID to check the status."
29,Order ID is 146,Your order with ID 146 has been delivered.
30,What's the status of my order?,Please provide your order ID.
30,Order ID is 145,Your order with ID 145 has been delivered.
30,What should I do if I received the wrong item?,"If you received the wrong item, please contact our customer service immediately."
